Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2010,DC_ENVTECH_EXP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,12327461
2011,DC_ENVTECH_EXP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,6174671
2012,DC_ENVTECH_EXP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,13832151
2013,DC_ENVTECH_EXP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,9099377
2014,DC_ENVTECH_EXP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,30475724
2015,DC_ENVTECH_EXP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,18931226
2016,DC_ENVTECH_EXP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,12537441
2017,DC_ENVTECH_EXP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,19039306
2018,DC_ENVTECH_EXP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,16386533
2019,DC_ENVTECH_EXP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,16608352
2020,DC_ENVTECH_EXP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,20735316
2010,DC_ENVTECH_IMP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,547199543
2011,DC_ENVTECH_IMP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,539000910
2012,DC_ENVTECH_IMP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,829966916
2013,DC_ENVTECH_IMP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,768912386
2014,DC_ENVTECH_IMP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,1328237508
2015,DC_ENVTECH_IMP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,1189068317
2016,DC_ENVTECH_IMP,231,USD,2025-05-13T00:00:00,A,0,2020,WESR / UN COMTRADE,1183303898
