Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2001,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,40.06159541
2002,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,38.8397539
2003,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,42.95100754
2004,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,44.52297564
2005,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,42.78844396
2006,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,56.99755074
2007,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,62.51616025
2008,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,47.00122723
2009,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,40.24954534
2010,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,44.40998255
2011,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,56.19767013
2012,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,84.93440992
2013,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,61.11424867
2014,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,60.40494728
2015,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,58.46793418
2016,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,54.46726012
2017,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,51.04450975
2018,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,52.93559976
2019,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,53.70472213
2020,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,57.62165088
2021,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,50.91268962
2022,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,45.55653566
2023,GC_GOB_TAXD,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,50.28179057
