Value,Disaggregation combinations using this value,Number of indicators
AGG_AGR,5,3
AGG_ARMS,3,2
AGG_CLTH,5,3
AGG_IND,5,3
AGG_OIL,3,2
AGG_TXT,5,3
CPC2_1_111,1,1
CPC2_1_112,1,1
CPC2_1_114,1,1
MF1,6,2
MF11,6,2
MF121,6,2
MF122,6,2
MF13,6,2
MF14,6,2
MF2,6,2
MF21,6,2
MF22,6,2
MF3,6,2
MF4,6,2
MF41,6,2
MF_AGG3A,6,2
MF_AGG3B,6,2
None,12,6
