Indicator,Disaggregation combinations using this value
#11-6-1,3
#12-4-2,1
#16-2-2,4
#17-7-1,3
#3-d-1,13
#5-5-2,1
#6-3-1,2
#8-6-1,3
#9-2-2,1
#9-5-1,1
#9-5-2,1
