Value,Disaggregation combinations using this value,Number of indicators
0.06,1,1
0.18586,1,1
0.2,2,1
0.3,1,1
0.4,1,1
0.7,1,1
0.90568,1,1
0,1,1
115.9,1,1
13,1,1
13.6,1,1
1.3,1,1
15.8,1,1
158.1,1,1
16.1,1,1
1.8,1,1
183.2,1,1
18.4,1,1
187.4,1,1
211,1,1
2.3,1,1
27.70651,1,1
31.3,1,1
33,1,1
344.2,1,1
395.1,1,1
43.49129,1,1
45.53177,1,1
7,1,1
7119,1,1
7.4,1,1
74.49842,1,1
78.88409,1,1
7.9,2,2
8,1,1
8.4,1,1
8.5,1,1
8.8,1,1
88.1,1,1
9.1,1,1
93.7975,1,1
94.7,1,1
