Value,Disaggregation combinations using this value,Number of indicators
_U,7,2
_X,6,1
M0,2,1
M12T23,1,1
M24T35,1,1
M36T47,1,1
M48T59,1,1
None,180,7
Y0,7,2
Y0T14,5,3
Y0T17,4,1
Y0T4,22,5
Y0T45,5,1
Y10T14,1,1
Y15T19,1,1
Y15T24,14,6
Y15T49,13,6
Y15T64,5,3
Y18T29,1,1
Y20T24,2,1
Y25T54,4,2
Y30T69,3,1
Y55T64,4,2
Y5T14,3,1
Y5T17,3,1
Y_GE10,6,1
Y_GE15,125,13
Y_GE18,4,1
Y_GE25,4,2
Y_GE46,8,1
Y_GE50,3,1
Y_GE65,4,2
