Indicator,Disaggregations,Number of disaggregations
#16-1-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX",5
#16-2-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, AGE",5
#16-2-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, AGE",6
#16-3-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#16-5-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#16-6-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#16-6-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX",5
#16-7-1,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL, SEX, AGE",7
#16-8-1,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL",5
#16-9-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, AGE",5
#16-a-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#17-1-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#17-1-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#17-10-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, PRODUCT",5
#17-11-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#17-12-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, PRODUCT",5
#17-13-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#17-17-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, BASE_PER",5
#17-18-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#17-18-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#17-18-3,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#17-19-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#17-19-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#17-3-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#17-3-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#17-4-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#17-5-1,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL",5
#17-6-1,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL",5
#17-7-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#17-8-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX",5
#17-9-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, BASE_PER",5
#2-1-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#2-1-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, AGE",6
#2-2-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, UPPER_BOUND, LOWER_BOUND, SEX, AGE",8
#2-2-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, UPPER_BOUND, LOWER_BOUND, SEX, AGE",8
#2-2-3,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, UPPER_BOUND, LOWER_BOUND, SEX, AGE",8
#2-4-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#2-5-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#2-5-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#2-a-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#2-a-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, BASE_PER",5
#2-c-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#3-1-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, UPPER_BOUND, LOWER_BOUND, SEX",7
#3-1-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#3-2-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, AGE",6
#3-2-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, AGE",5
#3-3-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, AGE",6
#3-3-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, UPPER_BOUND, LOWER_BOUND",6
#3-3-3,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, UPPER_BOUND, LOWER_BOUND",6
#3-3-4,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, UPPER_BOUND, LOWER_BOUND, AGE",7
#3-3-5,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#3-4-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, UPPER_BOUND, LOWER_BOUND, SEX, AGE",8
