Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-4-1,2
#11-6-2,1
#4-1-2,54
#4-5-1,27
#6-1-1,1
#6-2-1,3
#6-b-1,2
#7-1-1,1
#7-1-2,1
#8-10-2,1
#9-1-1,1
