Indicator,Disaggregation combinations using this value
#1-3-1,3
#1-5-1,1
#11-5-1,1
#12-4-2,12
#12-b-1,3
#13-1-1,1
#14-4-1,1
#15-4-2,69
#16-3-2,1
#17-19-2,1
#3-4-1,3
#3-4-2,3
#3-5-1,3
#3-6-1,2
#3-8-1,1
#3-9-3,3
#6-6-1,8
#8-10-2,11
