Value,Disaggregation combinations using this value,Number of indicators
0.86078,1,1
1082.8,1,1
11.6,1,1
11.9,1,1
13.6,1,1
1361,1,1
1.6,1,1
163.30534,1,1
16.89565,1,1
1.7,1,1
1.8,1,1
1.85,1,1
18.75243,1,1
2,1,1
20.1,1,1
203,1,1
23.5,1,1
23.7,1,1
24,1,1
24153,1,1
332.02425,1,1
33.5,1,1
3547.1,1,1
37.5,1,1
3.8,1,1
38.1025,1,1
38.4,1,1
40.1,1,1
40.4,2,1
41.9,1,1
4.2,1,1
4234.6,1,1
42.7,1,1
4.32449,1,1
486.1,1,1
5.2,1,1
5.5,1,1
5.9,1,1
592.5,1,1
6.8,1,1
7790.1,1,1
7.9,1,1
8,1,1
