Value,Disaggregation combinations using this value,Number of indicators
C01,4,3
C02,30,5
C03,29,4
C04,30,5
C05,5,4
C06,4,3
C07,4,3
C08,3,3
C09,4,3
C10,3,2
C11,1,1
C12,1,1
None,25,1
