Value,Disaggregation combinations using this value,Number of indicators
AGG_PSP,2,1
ISCO08_0,3,1
ISCO08_1,3,1
ISCO08_2,3,1
ISCO08_221,3,1
ISCO08_2221_3221,2,1
ISCO08_222_322,1,1
ISCO08_2261,1,1
ISCO08_2262,1,1
ISCO08_3,3,1
ISCO08_4,3,1
ISCO08_5,3,1
ISCO08_6,3,1
ISCO08_7,3,1
ISCO08_8,3,1
ISCO08_9,3,1
ISCO08_X,3,1
ISCO88_0,2,1
ISCO88_1,3,1
ISCO88_2,3,1
ISCO88_3,3,1
ISCO88_4,3,1
ISCO88_5,3,1
ISCO88_6,3,1
ISCO88_7,3,1
ISCO88_8,3,1
ISCO88_9,3,1
ISCO88_X,1,1
None,29,2
