Indicator,Disaggregation combinations using this value
#10-7-2,1
#12-3-1,2
#12-a-1,1
#15-4-2,12
#15-9-1,2
#16-1-2,16
#16-7-1,10
#17-5-1,1
#17-6-1,2
#6-6-1,17
#7-a-1,1
#7-b-1,1
