Indicator,Disaggregation combinations using this value
#1-3-1,6
#2-1-2,8
#3-5-1,3
#3-5-2,1
#3-a-1,3
#5-2-1,1
#5-5-2,2
#8-10-1,2
#8-10-2,11
#8-2-1,1
#8-3-1,9
#8-5-1,66
#8-5-2,12
