Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2584.6
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2551.7
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2553.9
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2587.7
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,3086.4
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2901.0
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2671.4
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2397.6
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2645.6
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,3174.3
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,3387.2
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,3310.2
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,None,None,PT,2025-03-24T00:00:00,2022-2024,13.0
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,None,None,PT,2025-03-24T00:00:00,2022-2024,12.7
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,None,None,PT,2025-03-24T00:00:00,2022-2024,11.4
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,None,None,PT,2025-03-24T00:00:00,2022-2024,9.3
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,None,None,PT,2025-03-24T00:00:00,2022-2024,6.9
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,None,None,PT,2025-03-24T00:00:00,2022-2024,6.2
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,None,None,PT,2025-03-24T00:00:00,2022-2024,5.6
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,None,None,PT,2025-03-24T00:00:00,2022-2024,5.6
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,14.1
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,13.9
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,12.5
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,10.2
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,7.2
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,5.3
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,4.3
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,4.3
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,11.9
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,11.5
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,10.3
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,8.4
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,6.7
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,7.2
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,6.9
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,7.0
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,None,None,NUMBER,2025-03-24T00:00:00,2022-2024,5155.3
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,None,None,NUMBER,2025-03-24T00:00:00,2022-2024,5103.2
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,None,None,NUMBER,2025-03-24T00:00:00,2022-2024,4691.0
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,None,None,NUMBER,2025-03-24T00:00:00,2022-2024,3904.2
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,None,None,NUMBER,2025-03-24T00:00:00,2022-2024,2966.0
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,None,None,NUMBER,2025-03-24T00:00:00,2022-2024,2705.2
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,None,None,NUMBER,2025-03-24T00:00:00,2022-2024,2476.0
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,None,None,NUMBER,2025-03-24T00:00:00,2022-2024,2530.6
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,1947.0
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,1936.3
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,1777.0
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,1465.2
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,1045.6
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,783.7
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,652.3
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,661.5
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,1707.0
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,1659.1
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,1510.0
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,1257.9
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,1017.3
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,1098.2
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,1070.9
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,12,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,1101.1
