Year,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2015,ER_H2O_STRESS,231,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),28.88
2016,ER_H2O_STRESS,231,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),29.62
2017,ER_H2O_STRESS,231,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),29.62
2018,ER_H2O_STRESS,231,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),29.62
2019,ER_H2O_STRESS,231,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),29.62
2020,ER_H2O_STRESS,231,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),29.62
2021,ER_H2O_STRESS,231,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),29.62
2022,ER_H2O_STRESS,231,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),29.62
2002,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.06
2003,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.09
2004,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.13
2005,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2006,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2007,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2008,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2009,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2010,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2011,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2012,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2013,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2014,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2015,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2016,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2017,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2018,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2019,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2020,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2021,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2022,ER_H2O_STRESS,231,ISIC4_BTFXE,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.16
2002,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),1.02
2003,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),1.5
2004,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),1.99
2005,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
2006,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
2007,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
2008,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
2009,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
2010,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
2011,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
2012,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
2013,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
2014,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
2015,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
2016,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
2017,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
2018,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
2019,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
2020,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
2021,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
2022,ER_H2O_STRESS,231,ISIC4_GTT,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.48
