Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2002,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,1.155212
2003,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,8.911094
2004,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,0.17421
2005,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,8.505961
2006,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,2.648795
2007,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,0.469191
2008,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,0.396667
2009,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,17.089775
2010,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,4.704209
2011,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,6.277062
2012,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,67.650886
2013,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,42.378647
2014,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,13.146249
2015,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,17.054647
2016,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,2.946107
2017,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,2.687488
2018,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,1.278169
2019,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,18.188147
2020,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,35.901804
2021,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,2.966591
2022,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,25.730938
2023,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_BDVL,12,CON_USD,2025-05-19T00:00:00,2023,19.223149
