Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,BASE_PER,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2000,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,12.282038
2001,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,42.808397
2002,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,27.609256
2003,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,43.240357
2004,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,38.870513
2005,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,137.617918
2006,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,146.21617
2007,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,146.211945
2008,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,153.309924
2009,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,159.215423
2010,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,136.554304
2011,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,158.704989
2012,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,205.607245
2013,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,192.843518
2014,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,233.625065
2015,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,224.92764
2016,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,231.484986
2017,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,249.079301
2018,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,214.239746
2019,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,292.997567
2020,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,167.359055
2021,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,189.532215
2022,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,267.419802
2023,DC_TOF_WASHL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,336.4889
