Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2013,SE_ADT_EDUCTRN,231,None,Y15T24,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,39.60681
2021,SE_ADT_EDUCTRN,231,None,Y15T24,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,49.32653
2013,SE_ADT_EDUCTRN,231,None,Y15T64,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,16.43363
2021,SE_ADT_EDUCTRN,231,None,Y15T64,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,21.07845
2013,SE_ADT_EDUCTRN,231,None,Y25T54,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,3.93849
2021,SE_ADT_EDUCTRN,231,None,Y25T54,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,6.67596
2013,SE_ADT_EDUCTRN,231,None,Y55T64,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,0.6979
2021,SE_ADT_EDUCTRN,231,None,Y55T64,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,1.32821
2013,SE_ADT_EDUCTRN,231,F,Y15T24,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,36.0704
2021,SE_ADT_EDUCTRN,231,F,Y15T24,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,43.97202
2013,SE_ADT_EDUCTRN,231,F,Y15T64,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,14.3647
2021,SE_ADT_EDUCTRN,231,F,Y15T64,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,17.79923
2013,SE_ADT_EDUCTRN,231,F,Y25T54,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,2.66213
2021,SE_ADT_EDUCTRN,231,F,Y25T54,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,4.33837
2013,SE_ADT_EDUCTRN,231,F,Y55T64,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,0.30915
2021,SE_ADT_EDUCTRN,231,F,Y55T64,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,0.58303
2013,SE_ADT_EDUCTRN,231,M,Y15T24,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,43.27462
2021,SE_ADT_EDUCTRN,231,M,Y15T24,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,54.91064
2013,SE_ADT_EDUCTRN,231,M,Y15T64,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,18.60157
2021,SE_ADT_EDUCTRN,231,M,Y15T64,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,24.51018
2013,SE_ADT_EDUCTRN,231,M,Y25T54,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,5.3041
2021,SE_ADT_EDUCTRN,231,M,Y25T54,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,9.16193
2013,SE_ADT_EDUCTRN,231,M,Y55T64,PT,2025-03-05T00:00:00,A,0,2021,UIS based on UIS based on ETH - LFS - National Labor Force Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,1.06156
