Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,MICS 2018-19,SP_DYN_MRBF15,12,F,Y20T24,PT,2025-03-24T00:00:00,2018-19,0.0
2019,A,0,MICS 2018-19,SP_DYN_MRBF18,12,F,Y20T24,PT,2025-03-24T00:00:00,2018-19,3.8
