Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2000,SH_STA_SCIDE,231,None,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,8,4.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",7.3
2005,SH_STA_SCIDE,231,None,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,8,4.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",6.2
2010,SH_STA_SCIDE,231,None,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,8,4.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",5.6
2015,SH_STA_SCIDE,231,None,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,8,4.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",5.2
2019,SH_STA_SCIDE,231,None,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,8,4.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",5.7
2020,SH_STA_SCIDE,231,None,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,8,4.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",5.7
2021,SH_STA_SCIDE,231,None,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,8,4.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",6.1
2000,SH_STA_SCIDE,231,F,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,4.2,2.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",4.0
2005,SH_STA_SCIDE,231,F,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,4.2,2.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",3.4
2010,SH_STA_SCIDE,231,F,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,4.2,2.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",2.8
2015,SH_STA_SCIDE,231,F,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,4.2,2.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",2.5
2019,SH_STA_SCIDE,231,F,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,4.2,2.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",2.8
2020,SH_STA_SCIDE,231,F,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,4.2,2.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",2.8
2021,SH_STA_SCIDE,231,F,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,4.2,2.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",3.1
2000,SH_STA_SCIDE,231,M,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,11.9,6.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",10.6
2005,SH_STA_SCIDE,231,M,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,11.9,6.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",9.0
2010,SH_STA_SCIDE,231,M,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,11.9,6.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",8.3
2015,SH_STA_SCIDE,231,M,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,11.9,6.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",7.9
2019,SH_STA_SCIDE,231,M,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,11.9,6.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",8.6
2020,SH_STA_SCIDE,231,M,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,11.9,6.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",8.5
2021,SH_STA_SCIDE,231,M,PER_100000_POP,2025-03-13T00:00:00,A,0,2021,11.9,6.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",9.1
