Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2022,A,0,Ministère de l’Environnement et des Energies Renouvelables,ER_BDY_ABT2NP,12,None,NUMBER,2024-05-08T00:00:00,2022,1
2022,A,0,Ministère de l’Environnement et des Energies Renouvelables,ER_BDY_ABT2NP,12,ABT2_INSUFNT,NUMBER,2024-05-08T00:00:00,2022,1
