Year,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,BASE_PER,TIME_DETAIL,SOURCE_DETAIL,Value
2009,NV_IND_MANF_CD,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,,2023,UNIDO National Accounts Database. Available at https://stat.unido.org,3.8
2010,NV_IND_MANF_CD,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,,2023,UNIDO National Accounts Database. Available at https://stat.unido.org,3.9
2011,NV_IND_MANF_CD,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,,2023,UNIDO National Accounts Database. Available at https://stat.unido.org,3.68
2012,NV_IND_MANF_CD,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,,2023,UNIDO National Accounts Database. Available at https://stat.unido.org,3.42
2013,NV_IND_MANF_CD,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,,2023,UNIDO National Accounts Database. Available at https://stat.unido.org,3.7
2014,NV_IND_MANF_CD,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,,2023,UNIDO National Accounts Database. Available at https://stat.unido.org,3.99
2015,NV_IND_MANF_CD,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,,2023,UNIDO National Accounts Database. Available at https://stat.unido.org,4.4
2016,NV_IND_MANF_CD,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,,2023,UNIDO National Accounts Database. Available at https://stat.unido.org,5.69
2017,NV_IND_MANF_CD,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,,2023,UNIDO National Accounts Database. Available at https://stat.unido.org,6.19
2018,NV_IND_MANF_CD,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,,2023,UNIDO National Accounts Database. Available at https://stat.unido.org,5.83
2019,NV_IND_MANF_CD,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,,2023,UNIDO National Accounts Database. Available at https://stat.unido.org,5.59
2020,NV_IND_MANF_CD,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,,2023,UNIDO National Accounts Database. Available at https://stat.unido.org,5.3
2021,NV_IND_MANF_CD,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,,2023,UNIDO National Accounts Database. Available at https://stat.unido.org,4.61
2022,NV_IND_MANF_CD,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,,2023,UNIDO National Accounts Database. Available at https://stat.unido.org,4.24
2023,NV_IND_MANF_CD,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,,2023,UNIDO National Accounts Database. Available at https://stat.unido.org,4.48
2000,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,9.48
2001,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,9.53
2002,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,9.36
2003,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,9.15
2004,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,9.47
2005,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,10.37
2006,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,11.13
2007,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,11.71
2008,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,12.55
2009,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,13.31
2010,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,14.44
2011,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,16.55
2012,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,17.99
2013,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,20.47
2014,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,23.24
2015,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,26.75
2016,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,30.82
2017,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,37.39
2018,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,38.88
2019,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,40.76
2020,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,42.65
2021,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,43.64
2022,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,44.56
2023,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,46.43
2024,NV_IND_MANFPC,231,ISIC4_C,CON_USD,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,48.48
