From,To
REF_AREA,EDUCATION_LEV
EDUCATION_LEV,OBS_STATUS
OBS_STATUS,UNIT_MULT
UNIT_MULT,TIME_DETAIL
TIME_DETAIL,SOURCE_DETAIL
