From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,SOURCE_DETAIL
SOURCE_DETAIL,REF_AREA
REF_AREA,SEX
SEX,OCCUPATION
OCCUPATION,TIME_DETAIL
