From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,UPPER_BOUND
UPPER_BOUND,LOWER_BOUND
LOWER_BOUND,SOURCE_DETAIL
SOURCE_DETAIL,REF_AREA
REF_AREA,SEX
SEX,AGE
AGE,TIME_DETAIL
TIME_DETAIL,COMMENT_OBS
