From,To
REF_AREA,URBANISATION
URBANISATION,OBS_STATUS
OBS_STATUS,UNIT_MULT
UNIT_MULT,TIME_DETAIL
TIME_DETAIL,COMMENT_OBS
COMMENT_OBS,SOURCE_DETAIL
