From,To
REF_AREA,SEX
SEX,OBS_STATUS
OBS_STATUS,UNIT_MULT
UNIT_MULT,BASE_PER
BASE_PER,TIME_DETAIL
TIME_DETAIL,COMMENT_OBS
COMMENT_OBS,SOURCE_DETAIL
