From,To
REF_AREA,SEX
SEX,AGE
AGE,URBANISATION
URBANISATION,INCOME_WEALTH_QUANTILE
INCOME_WEALTH_QUANTILE,EDUCATION_LEV
EDUCATION_LEV,OBS_STATUS
OBS_STATUS,UNIT_MULT
UNIT_MULT,TIME_DETAIL
TIME_DETAIL,SOURCE_DETAIL
