Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2009,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.59
2010,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.56
2011,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.56
2012,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.64
2013,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.71
2014,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.74
2015,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.84
2016,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.91
2017,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.88
2018,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.89
2019,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.92
2020,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.97
2021,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.92
2022,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.99
2000,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,103.23
2001,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,98.18
2002,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,103.29
2003,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,116.78
2004,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,127.49
2005,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,150.85
2006,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,160.12
2007,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,164.76
2008,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,174.54
