Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00431
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00416
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00316
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00334
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00335
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00323
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00336
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00318
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00321
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.0033
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00331
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00287
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00227
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00235
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00237
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF14,T,2025-03-21T00:00:00,2023,,0.00234
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.09789
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.10143
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.09624
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.12673
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.13787
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.16089
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.18752
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.16479
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.20669
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.21062
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.17348
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.17625
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.19417
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.1817
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.19019
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.21
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.17956
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.12042
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.1221
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.12071
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.11918
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.12257
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.12564
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF2,T,2025-03-21T00:00:00,2023,,0.12689
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.09241
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.09447
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.08697
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.12132
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.12974
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.15162
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.18274
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.16008
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.19871
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.19867
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.16364
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.16828
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.18659
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.17514
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.18377
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.20307
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.17216
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.115
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.11541
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.11583
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.1141
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.11741
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.12027
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF21,T,2025-03-21T00:00:00,2023,,0.1214
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00548
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00696
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00927
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00541
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00813
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00927
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00477
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00471
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00798
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.01194
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00985
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00796
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00758
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00656
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00643
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00694
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.0074
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00542
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00669
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00487
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00508
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00516
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00536
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF22,T,2025-03-21T00:00:00,2023,,0.00549
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,2.54558
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,2.55657
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,2.86562
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,3.2267
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,3.20221
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,3.42807
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,3.88365
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,4.41694
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,5.62061
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,5.496
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,5.07741
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,4.74259
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,4.69681
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,4.22901
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,4.34898
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,5.15003
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,5.02408
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,5.32627
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,5.44884
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,4.90374
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,4.86056
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,5.06573
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,5.15859
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF3,T,2025-03-21T00:00:00,2023,,5.1276
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.51375
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.51136
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.56175
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.55153
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.4026
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.56888
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.45749
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.48607
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.5157
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.53138
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.56343
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.52273
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.47803
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.48608
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.77376
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.72112
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.69149
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.69003
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.74975
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.69899
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.66886
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.7039
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.69216
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF4,T,2025-03-21T00:00:00,2023,,1.65826
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.01927
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.01753
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.02318
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.01884
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.02799
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.02091
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.02967
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.02431
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.02386
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.00472
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.0
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.0
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.0
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.0
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.00052
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.0
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.0
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.0
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.00029
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.00019
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.00019
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.00019
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.00018
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF41,T,2025-03-21T00:00:00,2023,,0.00018
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,1.00664
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.98615
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.99495
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,1.00297
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.88372
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.84207
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.86104
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.88586
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.92066
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.93303
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.99547
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.93368
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.82785
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.83762
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,1.05939
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.97615
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.95852
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.93729
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.95514
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.9019
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.95609
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.97958
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.97744
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF421,T,2025-03-21T00:00:00,2023,,0.96742
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.48784
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.50767
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.54362
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.52972
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.49088
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.70589
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.56678
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.5759
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.57117
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.59363
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.56796
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.58904
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.65019
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.64846
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.71385
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.74497
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.73297
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.75274
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.79433
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.7969
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.71259
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.72413
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.71454
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF422,T,2025-03-21T00:00:00,2023,,0.69067
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,12,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,1.46449
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPG,12,None,KG_PER_CON_USD,2025-03-21T00:00:00,2023,2015,1.43859
