Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3A,T,2025-03-21T00:00:00,2023,,5.0292
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3A,T,2025-03-21T00:00:00,2023,,5.33464
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3A,T,2025-03-21T00:00:00,2023,,5.45515
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3A,T,2025-03-21T00:00:00,2023,,4.90751
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3A,T,2025-03-21T00:00:00,2023,,4.8742
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3A,T,2025-03-21T00:00:00,2023,,5.08046
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3A,T,2025-03-21T00:00:00,2023,,5.174
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3A,T,2025-03-21T00:00:00,2023,,5.14479
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.05068
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.04635
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.0496
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.05231
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.04939
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.06238
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.04928
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.06166
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.06114
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.0519
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.07071
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.04121
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.04649
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.04664
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.02786
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.00531
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,-0.00512
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,-0.00837
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,-0.00631
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,-0.00377
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,-0.01365
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,-0.01473
