Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,R,SKILL_ICTPRGM,PT,2025-03-14T00:00:00,2018,3.8
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,R,SKILL_ICTPST,PT,2025-03-14T00:00:00,2018,4.2
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,R,SKILL_ICTSFWR,PT,2025-03-14T00:00:00,2018,8.4
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,R,SKILL_ICTSSHT,PT,2025-03-14T00:00:00,2018,5.8
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,R,SKILL_INTBNK,PT,2025-03-14T00:00:00,2018,3.2
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,R,SKILL_ONLCNS,PT,2025-03-14T00:00:00,2018,4.0
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,R,SKILL_ONLSFT,PT,2025-03-14T00:00:00,2018,2.5
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,R,SKILL_SNTWK,PT,2025-03-14T00:00:00,2018,30.8
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,R,SKILL_VOIP,PT,2025-03-14T00:00:00,2018,23.8
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,U,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2018,32.3
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,U,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2018,17.9
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,U,SKILL_GSINF,PT,2025-03-14T00:00:00,2018,27.5
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,U,SKILL_GSPUR,PT,2025-03-14T00:00:00,2018,13.8
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,U,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2018,24.9
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,U,SKILL_ICTATCH,PT,2025-03-14T00:00:00,2018,19.4
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,U,SKILL_ICTCDV,PT,2025-03-14T00:00:00,2018,19.6
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,U,SKILL_ICTCPT,PT,2025-03-14T00:00:00,2018,21.3
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,U,SKILL_ICTPRGM,PT,2025-03-14T00:00:00,2018,8.4
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,U,SKILL_ICTPST,PT,2025-03-14T00:00:00,2018,8.7
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,U,SKILL_ICTSFWR,PT,2025-03-14T00:00:00,2018,19.0
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,U,SKILL_ICTSSHT,PT,2025-03-14T00:00:00,2018,11.1
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,U,SKILL_INTBNK,PT,2025-03-14T00:00:00,2018,7.7
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,U,SKILL_ONLCNS,PT,2025-03-14T00:00:00,2018,5.4
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,U,SKILL_ONLSFT,PT,2025-03-14T00:00:00,2018,5.5
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,U,SKILL_SNTWK,PT,2025-03-14T00:00:00,2018,45.6
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,U,SKILL_VOIP,PT,2025-03-14T00:00:00,2018,37.7
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y15T24,None,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2018,35.0
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y15T24,None,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2018,27.2
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y15T24,None,SKILL_GSINF,PT,2025-03-14T00:00:00,2018,29.1
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y15T24,None,SKILL_GSPUR,PT,2025-03-14T00:00:00,2018,13.2
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y15T24,None,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2018,22.5
2018,A,0,,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y15T24,None,SKILL_ICTATCH,PT,2025-03-14T00:00:00,2018,20.3
