Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,COMMENT_OBS,Value
2015,IT_MOB_OWN,231,PT,2025-03-06T00:00:00,A,0,2021,ITU estimate.,Aged 10 and older.,50.0
2016,IT_MOB_OWN,231,PT,2025-03-06T00:00:00,A,0,2021,ITU estimate.,Aged 10 and older.,58.3
2019,IT_MOB_OWN,231,PT,2025-03-06T00:00:00,A,0,2021,ITU estimate.,Aged 10 and older.,44.6
2020,IT_MOB_OWN,231,PT,2025-03-06T00:00:00,A,0,2021,ITU estimate.,Aged 10 and older.,44.7
2021,IT_MOB_OWN,231,PT,2025-03-06T00:00:00,A,0,2021,ITU estimate.,Aged 10 and older.,45.2
