Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2013,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_MCV2,12,PT,2025-03-17T00:00:00,2023,,93.0
2014,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_MCV2,12,PT,2025-03-17T00:00:00,2023,,99.0
2015,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_MCV2,12,PT,2025-03-17T00:00:00,2023,,99.0
2016,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_MCV2,12,PT,2025-03-17T00:00:00,2023,,96.0
2017,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_MCV2,12,PT,2025-03-17T00:00:00,2023,,92.0
2018,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_MCV2,12,PT,2025-03-17T00:00:00,2023,,77.0
2019,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_MCV2,12,PT,2025-03-17T00:00:00,2023,,76.0
2020,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_MCV2,12,PT,2025-03-17T00:00:00,2023,,74.0
2021,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_MCV2,12,PT,2025-03-17T00:00:00,2023,,73.0
2022,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_MCV2,12,PT,2025-03-17T00:00:00,2023,,71.0
2023,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_MCV2,12,PT,2025-03-17T00:00:00,2023,,93.0
2016,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_PCV3,12,PT,2025-03-17T00:00:00,2023,The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),61.0
2017,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_PCV3,12,PT,2025-03-17T00:00:00,2023,The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),89.0
2018,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_PCV3,12,PT,2025-03-17T00:00:00,2023,The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),91.0
2019,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_PCV3,12,PT,2025-03-17T00:00:00,2023,The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),87.0
2020,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_PCV3,12,PT,2025-03-17T00:00:00,2023,The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),83.0
2021,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_PCV3,12,PT,2025-03-17T00:00:00,2023,The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),78.0
2022,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_PCV3,12,PT,2025-03-17T00:00:00,2023,The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),74.0
2023,A,0,"WHO/UNICEF coverage estimates 2023 revision, July 2024",SH_ACS_PCV3,12,PT,2025-03-17T00:00:00,2023,The PCV3 vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),89.0
