Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2011,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,12,PT,2024-03-13T00:00:00,2023,14.08
2015,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,12,PT,2024-03-13T00:00:00,2023,11.89
2017,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,12,PT,2024-03-13T00:00:00,2023,8.26
2018,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,12,PT,2024-03-13T00:00:00,2023,10.86
2019,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,12,PT,2024-03-13T00:00:00,2023,10.75
2020,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,12,PT,2024-03-13T00:00:00,2023,10.52
2021,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,12,PT,2024-03-13T00:00:00,2023,9.23
2022,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,12,PT,2024-03-13T00:00:00,2023,10.45
2023,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,12,PT,2024-03-13T00:00:00,2023,11.63
