From,To
REF_AREA,INCOME_WEALTH_QUANTILE
INCOME_WEALTH_QUANTILE,OBS_STATUS
OBS_STATUS,UNIT_MULT
UNIT_MULT,TIME_DETAIL
TIME_DETAIL,SOURCE_DETAIL
