From,To
REF_AREA,OBS_STATUS
OBS_STATUS,UNIT_MULT
UNIT_MULT,TIME_DETAIL
TIME_DETAIL,SOURCE_DETAIL
SOURCE_DETAIL,COMMENT_OBS
