From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,SOURCE_DETAIL
SOURCE_DETAIL,REF_AREA
REF_AREA,EDUCATION_LEV
EDUCATION_LEV,TIME_DETAIL
