From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,BASE_PER
BASE_PER,COMMENT_OBS
COMMENT_OBS,SOURCE_DETAIL
SOURCE_DETAIL,REF_AREA
REF_AREA,COMPOSITE_BREAKDOWN
COMPOSITE_BREAKDOWN,TIME_DETAIL
