From,To
REF_AREA,COMPOSITE_BREAKDOWN
COMPOSITE_BREAKDOWN,OBS_STATUS
OBS_STATUS,UNIT_MULT
UNIT_MULT,TIME_DETAIL
TIME_DETAIL,COMMENT_OBS
COMMENT_OBS,SOURCE_DETAIL
