From,To
REF_AREA,SEX
SEX,OCCUPATION
OCCUPATION,OBS_STATUS
OBS_STATUS,UNIT_MULT
UNIT_MULT,TIME_DETAIL
TIME_DETAIL,SOURCE_DETAIL
