Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2000,SH_STA_POISN,231,None,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.7,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.9
2005,SH_STA_POISN,231,None,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.7,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.7
2010,SH_STA_POISN,231,None,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.7,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.5
2015,SH_STA_POISN,231,None,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.7,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.2
2019,SH_STA_POISN,231,None,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.7,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.2
2020,SH_STA_POISN,231,None,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.7,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.2
2021,SH_STA_POISN,231,None,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.7,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.2
2000,SH_STA_POISN,231,F,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.6,0.6,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.2
2005,SH_STA_POISN,231,F,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.6,0.6,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.2
2010,SH_STA_POISN,231,F,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.6,0.6,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.2
2015,SH_STA_POISN,231,F,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.6,0.6,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.1
2019,SH_STA_POISN,231,F,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.6,0.6,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.1
2020,SH_STA_POISN,231,F,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.6,0.6,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.1
2021,SH_STA_POISN,231,F,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.6,0.6,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.1
2000,SH_STA_POISN,231,M,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.8,0.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",2.6
2005,SH_STA_POISN,231,M,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.8,0.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",2.2
2010,SH_STA_POISN,231,M,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.8,0.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.8
2015,SH_STA_POISN,231,M,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.8,0.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.3
2019,SH_STA_POISN,231,M,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.8,0.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.3
2020,SH_STA_POISN,231,M,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.8,0.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.3
2021,SH_STA_POISN,231,M,PER_100000_POP,2025-03-06T00:00:00,A,0,2021,1.8,0.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",1.2
