Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,227.961
2007,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,174.709
2008,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,36.5097
2009,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,13.6851
2010,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,27.9164
2011,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,37.6232
2012,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,25.3322
2013,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,22.221
2014,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,24.8045
2015,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,6.38024
2016,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,21.1763
2017,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,25.7317
2018,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,39.45
2019,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,12.243
2020,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,24.9987
2021,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,11.1537
2022,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,43.9938
2023,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,12,CON_USD,2025-05-19T00:00:00,2023,35.3794
2006,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDDBML,12,CON_USD,2025-05-19T00:00:00,2023,141.599
2007,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDDBML,12,CON_USD,2025-05-19T00:00:00,2023,117.667
2008,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDDBML,12,CON_USD,2025-05-19T00:00:00,2023,110.535
2009,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDDBML,12,CON_USD,2025-05-19T00:00:00,2023,106.83
2010,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDDBML,12,CON_USD,2025-05-19T00:00:00,2023,44.7272
2011,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDDBML,12,CON_USD,2025-05-19T00:00:00,2023,51.5156
2012,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDDBML,12,CON_USD,2025-05-19T00:00:00,2023,30.5333
