Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2004,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,13824.0
2005,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,14162.0
2006,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,14564.0
2007,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,14958.0
2008,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,15376.0
2009,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,15598.0
2010,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,15885.0
2011,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,16073.0
2012,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,16506.0
2013,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,16036.0
2014,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,15951.0
2015,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,15659.0
2016,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,15629.0
2017,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,15862.0
2018,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,15906.0
2019,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,16036.0
2020,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,15759.0
2021,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,15192.0
2022,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,14578.0
2023,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,12,M0,NUMBER,2025-03-19T00:00:00,2023,13897.0
