Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2000,SP_ACS_BSRVH2O,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",18.6823
2001,SP_ACS_BSRVH2O,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",20.23204
2002,SP_ACS_BSRVH2O,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",21.77133
2003,SP_ACS_BSRVH2O,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",23.29816
2004,SP_ACS_BSRVH2O,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",24.81318
2005,SP_ACS_BSRVH2O,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",26.31637
2006,SP_ACS_BSRVH2O,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",27.80829
2007,SP_ACS_BSRVH2O,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",29.29771
2008,SP_ACS_BSRVH2O,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",30.87521
2009,SP_ACS_BSRVH2O,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",32.43838
2010,SP_ACS_BSRVH2O,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",33.98875
2011,SP_ACS_BSRVH2O,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",35.52505
2012,SP_ACS_BSRVH2O,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",37.0482
2013,SP_ACS_BSRVH2O,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",38.54823
