Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2022,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.53763
2023,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.53763
2000,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.5618
2005,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.55249
2010,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.54945
2015,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.53191
2016,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.53191
2017,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.5291
2018,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.5291
2019,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.5291
2020,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.5291
2021,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.52632
2022,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.52632
2023,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.52632
2000,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.5291
2005,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.52356
2010,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.52083
2015,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
