Year,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,BASE_PER,Value
2016,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.53168
2017,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.56947
2018,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.57469
2019,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.56561
2020,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.5616
2021,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.57043
2022,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.57072
2023,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.58446
2000,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.00708
2001,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.00923
2002,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01129
2003,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01083
2004,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01141
2005,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01387
2006,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.00924
2007,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.00523
2008,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.00717
2009,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01356
2010,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01612
2011,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01554
2012,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01892
2013,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01634
2014,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01812
2015,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01599
2016,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01827
2017,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01728
2018,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01946
2019,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.0193
2020,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01401
2021,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01386
2022,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01372
2023,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.01362
2000,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,2.73522
2001,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,2.84908
2002,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,2.92581
2003,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,2.87525
2004,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,2.84226
2005,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,2.98132
2006,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.01203
2007,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.10905
2008,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.10838
2009,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.20041
2010,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.30358
2011,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.23296
2012,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.25677
2013,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.33155
2014,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.39728
2015,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.4041
2016,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.41733
2017,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.43341
2018,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.40013
2019,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.47707
2020,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.55118
2021,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.37836
2022,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.31091
2023,EN_MAT_DOMCMPC,231,MF1,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.30981
2000,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.23877
2001,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.25726
2002,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.23115
2003,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.25535
