Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2008,EG_EGY_CLEAN,231,R,PT,2025-06-18T00:00:00,A,0,2023,3.8,0,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.4
2009,EG_EGY_CLEAN,231,R,PT,2025-06-18T00:00:00,A,0,2023,3.8,0,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.3
2010,EG_EGY_CLEAN,231,R,PT,2025-06-18T00:00:00,A,0,2023,3.8,0,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.3
2011,EG_EGY_CLEAN,231,R,PT,2025-06-18T00:00:00,A,0,2023,3.8,0,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.3
2012,EG_EGY_CLEAN,231,R,PT,2025-06-18T00:00:00,A,0,2023,3.8,0,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.3
2013,EG_EGY_CLEAN,231,R,PT,2025-06-18T00:00:00,A,0,2023,3.8,0,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.4
2014,EG_EGY_CLEAN,231,R,PT,2025-06-18T00:00:00,A,0,2023,3.8,0,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.3
2015,EG_EGY_CLEAN,231,R,PT,2025-06-18T00:00:00,A,0,2023,3.8,0,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.3
2016,EG_EGY_CLEAN,231,R,PT,2025-06-18T00:00:00,A,0,2023,3.8,0,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.3
2017,EG_EGY_CLEAN,231,R,PT,2025-06-18T00:00:00,A,0,2023,3.8,0,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.3
2018,EG_EGY_CLEAN,231,R,PT,2025-06-18T00:00:00,A,0,2023,3.8,0,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.3
2019,EG_EGY_CLEAN,231,R,PT,2025-06-18T00:00:00,A,0,2023,3.8,0,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.3
2020,EG_EGY_CLEAN,231,R,PT,2025-06-18T00:00:00,A,0,2023,3.8,0,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.3
2021,EG_EGY_CLEAN,231,R,PT,2025-06-18T00:00:00,A,0,2023,3.8,0,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.3
2022,EG_EGY_CLEAN,231,R,PT,2025-06-18T00:00:00,A,0,2023,3.8,0,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.3
2023,EG_EGY_CLEAN,231,R,PT,2025-06-18T00:00:00,A,0,2023,3.8,0,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.3
2000,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",2.1
2001,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",2.5
2002,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",3.0
2003,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",3.5
2004,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",4.1
2005,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",4.9
2006,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",5.6
2007,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",6.6
2008,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",7.6
2009,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",8.9
2010,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",10.1
2011,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",11.7
2012,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",13.5
2013,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",15.2
2014,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",16.7
2015,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",18.2
2016,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",19.4
2017,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",20.65
2018,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",21.4
2019,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",21.9
2020,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",22.8
2021,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",23.2
2022,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",23.3
2023,EG_EGY_CLEAN,231,U,PT,2025-06-18T00:00:00,A,0,2023,38.1025,12.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",23.6
