Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.43
2001,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.43
2002,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.51
2003,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.47
2004,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.44
2005,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.58
2006,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.41
2007,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.41
2008,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.3
2009,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.31
2010,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.26
2011,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.18
2012,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.18
2013,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.13
2014,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.07
2015,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.06
2016,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.08
2017,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.14
2018,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.19
2019,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.16
2020,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.15
2021,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.12
2022,A,0,"IEA (2024), World Energy Balances",EG_FEC_RNEW,12,PT,2025-02-26T00:00:00,2022,0.15
