Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2024,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,M,ISCED11_02,PT,2025-03-05T00:00:00,2024,99.84909
2000,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,M,ISCED11_1,PT,2025-03-05T00:00:00,2023,92.91404
2001,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,M,ISCED11_1,PT,2025-03-05T00:00:00,2023,94.24977
2002,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,M,ISCED11_1,PT,2025-03-05T00:00:00,2023,96.09818
2003,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,M,ISCED11_1,PT,2025-03-05T00:00:00,2023,97.09641
2004,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,M,ISCED11_1,PT,2025-03-05T00:00:00,2023,97.64026
2005,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,M,ISCED11_1,PT,2025-03-05T00:00:00,2023,98.09629
2006,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,M,ISCED11_1,PT,2025-03-05T00:00:00,2023,98.91706
2007,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,M,ISCED11_1,PT,2025-03-05T00:00:00,2023,99.64142
2014,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,M,ISCED11_1,PT,2025-03-05T00:00:00,2023,100.0
2015,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,M,ISCED11_1,PT,2025-03-05T00:00:00,2023,100.0
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,M,ISCED11_1,PT,2025-03-05T00:00:00,2023,98.29376
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,M,ISCED11_1,PT,2025-03-05T00:00:00,2023,94.89594
2023,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,M,ISCED11_1,PT,2025-03-05T00:00:00,2023,90.87601
