Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,2.107635
2007,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,2.109241
2008,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,5.666565
2009,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,7.899968
2010,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,7.925473
2011,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,2.010512
2012,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,5.700561
2013,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,20.529114
2014,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,20.357694
2015,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,16.696258
2016,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,17.478833
2017,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,21.911937
2018,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,22.021651
2019,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,23.018902
2020,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,22.228498
2021,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,23.456677
2022,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,25.453359
2023,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,12,CON_USD,2025-05-19T00:00:00,2023,29.144263
