Year,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2005,SL_TLF_MANF,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing,LFS - National Labor Force Survey,5.33
2013,SL_TLF_MANF,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing,LFS - National Labor Force Survey,5.12
2021,SL_TLF_MANF,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing,LFS - National Labor Force Survey,3.17
