Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,25.7492
2001,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,26.61982
2002,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,37.80988
2003,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,35.95445
2004,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,32.39644
2005,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,36.0354
2006,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,24.59574
2007,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,30.72389
2008,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,25.72535
2009,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,22.78883
2010,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,18.2357
2011,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,16.34813
2012,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,14.87363
2013,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,9.38823
2014,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,8.85813
2015,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,8.58216
2016,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,8.97618
2017,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,9.54871
2018,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,9.74414
2019,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,10.3319
2020,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,10.29427
2021,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,13.30174
2022,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,16.87207
2023,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,16.40479
2024,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,12,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,18.66767
