Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2000,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",13.6316985552788
2001,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",18.3897311331012
2002,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",7.90545047703554
2003,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",7.16333021865149
2004,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",5.50917477310888
2005,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",4.29923075832474
2006,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",5.80116771403063
2007,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",4.57621271491736
2008,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",2.91661050579193
2009,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",2.78313952666124
2010,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",3.77537523952486
2011,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",5.85057083628359
2012,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",7.14039479011932
2013,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",10.6475701112075
2014,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",11.8159320249646
2015,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",18.1639049440248
2016,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",20.6220213610167
2017,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",22.010295587519
2018,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",21.1644240759086
2019,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",28.7396404034211
2020,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",26.0301262935095
2021,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",21.1523252455382
2022,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",18.1488543811945
2023,DT_TDS_DECT,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank, International Debt Statistics.",14.2521481684703
