Year,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2019,SG_CPA_MIGRS,231,None,NUMBER,2022-03-05T00:00:00,A,0,2020-2021,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",3
2021,SG_CPA_MIGRS,231,None,NUMBER,2022-03-05T00:00:00,A,0,2020-2021,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",3
2019,SG_CPA_MIGRS,231,PD_1,NUMBER,2022-03-05T00:00:00,A,0,2020-2021,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",2
2021,SG_CPA_MIGRS,231,PD_1,NUMBER,2022-03-05T00:00:00,A,0,2020-2021,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",2
2019,SG_CPA_MIGRS,231,PD_2,NUMBER,2022-03-05T00:00:00,A,0,2020-2021,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",4
2021,SG_CPA_MIGRS,231,PD_2,NUMBER,2022-03-05T00:00:00,A,0,2020-2021,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",3
2019,SG_CPA_MIGRS,231,PD_3,NUMBER,2022-03-05T00:00:00,A,0,2020-2021,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",4
2021,SG_CPA_MIGRS,231,PD_3,NUMBER,2022-03-05T00:00:00,A,0,2020-2021,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",4
2019,SG_CPA_MIGRS,231,PD_4,NUMBER,2022-03-05T00:00:00,A,0,2020-2021,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",3
2021,SG_CPA_MIGRS,231,PD_4,NUMBER,2022-03-05T00:00:00,A,0,2020-2021,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",4
2019,SG_CPA_MIGRS,231,PD_5,NUMBER,2022-03-05T00:00:00,A,0,2020-2021,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",4
2021,SG_CPA_MIGRS,231,PD_5,NUMBER,2022-03-05T00:00:00,A,0,2020-2021,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",4
2019,SG_CPA_MIGRS,231,PD_6,NUMBER,2022-03-05T00:00:00,A,0,2020-2021,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",4
2021,SG_CPA_MIGRS,231,PD_6,NUMBER,2022-03-05T00:00:00,A,0,2020-2021,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",3
