Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2014,A,0,20.2,8.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,None,Y0T4,PT,2025-03-28T00:00:00,2024,12.8
2015,A,0,20.2,8.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,None,Y0T4,PT,2025-03-28T00:00:00,2024,12.4
2016,A,0,20.2,8.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,None,Y0T4,PT,2025-03-28T00:00:00,2024,12.0
2017,A,0,20.2,8.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,None,Y0T4,PT,2025-03-28T00:00:00,2024,11.7
2018,A,0,20.2,8.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,None,Y0T4,PT,2025-03-28T00:00:00,2024,11.5
2019,A,0,20.2,8.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,None,Y0T4,PT,2025-03-28T00:00:00,2024,11.4
2020,A,0,20.2,8.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,None,Y0T4,PT,2025-03-28T00:00:00,2024,11.5
2021,A,0,20.2,8.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,None,Y0T4,PT,2025-03-28T00:00:00,2024,11.6
2022,A,0,20.2,8.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,None,Y0T4,PT,2025-03-28T00:00:00,2024,12.0
2023,A,0,20.2,8.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,None,Y0T4,PT,2025-03-28T00:00:00,2024,12.5
