Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2000,AG_LND_FRST,231,PT,2025-03-21T00:00:00,A,0,2020,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,16.42
2010,AG_LND_FRST,231,PT,2025-03-21T00:00:00,A,0,2020,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,15.77
2015,AG_LND_FRST,231,PT,2025-03-21T00:00:00,A,0,2020,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,15.45
2016,AG_LND_FRST,231,PT,2025-03-21T00:00:00,A,0,2020,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,15.38
2017,AG_LND_FRST,231,PT,2025-03-21T00:00:00,A,0,2020,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,15.32
2018,AG_LND_FRST,231,PT,2025-03-21T00:00:00,A,0,2020,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,15.25
2019,AG_LND_FRST,231,PT,2025-03-21T00:00:00,A,0,2020,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,15.19
2020,AG_LND_FRST,231,PT,2025-03-21T00:00:00,A,0,2020,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,15.12
2000,AG_LND_FRSTN,231,HA,2025-03-21T00:00:00,A,3,2020,Officially reported data,FAO. Global Forest Resources Assessment 2020,18528.5
2010,AG_LND_FRSTN,231,HA,2025-03-21T00:00:00,A,3,2020,Officially reported data,FAO. Global Forest Resources Assessment 2020,17798.5
2015,AG_LND_FRSTN,231,HA,2025-03-21T00:00:00,A,3,2020,Officially reported data,FAO. Global Forest Resources Assessment 2020,17433.5
2016,AG_LND_FRSTN,231,HA,2025-03-21T00:00:00,A,3,2020,Officially reported data,FAO. Global Forest Resources Assessment 2020,17360.5
2017,AG_LND_FRSTN,231,HA,2025-03-21T00:00:00,A,3,2020,Officially reported data,FAO. Global Forest Resources Assessment 2020,17287.5
2018,AG_LND_FRSTN,231,HA,2025-03-21T00:00:00,A,3,2020,Officially reported data,FAO. Global Forest Resources Assessment 2020,17214.5
2019,AG_LND_FRSTN,231,HA,2025-03-21T00:00:00,A,3,2020,Officially reported data,FAO. Global Forest Resources Assessment 2020,17141.5
2020,AG_LND_FRSTN,231,HA,2025-03-21T00:00:00,A,3,2020,Officially reported data,FAO. Global Forest Resources Assessment 2020,17068.5
2000,AG_LND_TOTL,231,HA,2025-03-21T00:00:00,I,3,2020,,FAO. FAOSTAT,112857.1
2010,AG_LND_TOTL,231,HA,2025-03-21T00:00:00,I,3,2020,,FAO. FAOSTAT,112857.1
2015,AG_LND_TOTL,231,HA,2025-03-21T00:00:00,I,3,2020,,FAO. FAOSTAT,112853.94
2016,AG_LND_TOTL,231,HA,2025-03-21T00:00:00,I,3,2020,,FAO. FAOSTAT,112855.85
2017,AG_LND_TOTL,231,HA,2025-03-21T00:00:00,I,3,2020,,FAO. FAOSTAT,112855.28
2018,AG_LND_TOTL,231,HA,2025-03-21T00:00:00,I,3,2020,,FAO. FAOSTAT,112856.14
2019,AG_LND_TOTL,231,HA,2025-03-21T00:00:00,I,3,2020,,FAO. FAOSTAT,112857.09
2020,AG_LND_TOTL,231,HA,2025-03-21T00:00:00,I,3,2020,,FAO. FAOSTAT,112857.13
