Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.45
2006,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.56
2007,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.29
2008,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.79
2009,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.39
2010,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.24
2011,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.41
2012,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.34
2013,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.35
2014,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.3
2015,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.3
