Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_IWB,KM2,2025-03-21T00:00:00,2021,,202.7
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,112022.5
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,111789.2
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,111189.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,109386.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,108389.7
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,107725.4
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,137.3
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,106.9
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,120.3
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,74.4
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,102.4
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,121.1
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,470.7
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,718.5
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,725.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,673.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,573.4
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,507.1
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,7279.7
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,7160.2
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,7317.1
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,8006.3
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,8158.7
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,8260.4
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,151258.1
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,151174.8
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,151214.2
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,151490.4
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,151879.7
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,152139.3
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,12953.9
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,12903.1
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,12900.7
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,12977.6
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,13034.6
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,13072.7
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_ART,KM2,2025-03-21T00:00:00,2021,Montane,1371.2
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_ART,KM2,2025-03-21T00:00:00,2021,Montane,1535.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_ART,KM2,2025-03-21T00:00:00,2021,Montane,1737.1
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_ART,KM2,2025-03-21T00:00:00,2021,Montane,2081.8
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_ART,KM2,2025-03-21T00:00:00,2021,Montane,2291.2
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_ART,KM2,2025-03-21T00:00:00,2021,Montane,2430.8
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_CRP,KM2,2025-03-21T00:00:00,2021,Montane,11379.4
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_CRP,KM2,2025-03-21T00:00:00,2021,Montane,12391.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_CRP,KM2,2025-03-21T00:00:00,2021,Montane,12802.2
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_CRP,KM2,2025-03-21T00:00:00,2021,Montane,12762.4
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_CRP,KM2,2025-03-21T00:00:00,2021,Montane,12867.9
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_CRP,KM2,2025-03-21T00:00:00,2021,Montane,12938.2
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_GRS,KM2,2025-03-21T00:00:00,2021,Montane,41517.5
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_GRS,KM2,2025-03-21T00:00:00,2021,Montane,40306.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_GRS,KM2,2025-03-21T00:00:00,2021,Montane,39630.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_GRS,KM2,2025-03-21T00:00:00,2021,Montane,39091.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_GRS,KM2,2025-03-21T00:00:00,2021,Montane,38669.1
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_GRS,KM2,2025-03-21T00:00:00,2021,Montane,38387.7
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_IWB,KM2,2025-03-21T00:00:00,2021,Montane,103.9
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_IWB,KM2,2025-03-21T00:00:00,2021,Montane,132.1
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_IWB,KM2,2025-03-21T00:00:00,2021,Montane,86.2
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_IWB,KM2,2025-03-21T00:00:00,2021,Montane,123.6
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_IWB,KM2,2025-03-21T00:00:00,2021,Montane,102.7
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_IWB,KM2,2025-03-21T00:00:00,2021,Montane,88.8
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Montane,58565.4
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Montane,58420.4
