Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,Ministère de l'Environnement,SG_HAZ_CMRBASEL,12,PT,2025-03-21T00:00:00,2020-2024,67.0
2020,A,0,Ministère de l'Environnement,SG_HAZ_CMRBASEL,12,PT,2025-03-21T00:00:00,2020-2024,100.0
2025,A,0,Ministère de l'Environnement,SG_HAZ_CMRBASEL,12,PT,2025-03-21T00:00:00,2020-2024,80.0
2025,A,0,Ministry of the Environment and Renewable Energy,SG_HAZ_CMRMNMT,12,PT,2025-03-25T00:00:00,2020-2024,66.67
2015,A,0,Ministdre de I'Environnement et des Energies Renouvelables,SG_HAZ_CMRMNTRL,12,PT,2025-03-21T00:00:00,2020-2024,100.0
2020,A,0,Ministdre de I'Environnement et des Energies Renouvelables,SG_HAZ_CMRMNTRL,12,PT,2025-03-21T00:00:00,2020-2024,100.0
2025,A,0,Ministdre de I'Environnement et des Energies Renouvelables,SG_HAZ_CMRMNTRL,12,PT,2025-03-21T00:00:00,2020-2024,100.0
2025,A,0,Ministère de l’Agriculture et du Développement Rural,SG_HAZ_CMRROTDAM,12,PT,2025-03-21T00:00:00,2020-2024,11.48
2015,A,0,World Environment Situation Room,SG_HAZ_CMRSTHOLM,12,PT,2025-03-21T00:00:00,2020-2024,50.0
2020,A,0,World Environment Situation Room,SG_HAZ_CMRSTHOLM,12,PT,2025-03-21T00:00:00,2020-2024,63.0
2025,A,0,World Environment Situation Room,SG_HAZ_CMRSTHOLM,12,PT,2025-03-21T00:00:00,2020-2024,40.0
