Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2023,VC_VAW_MTUHRAN,231,NUMBER,2025-05-28T00:00:00,A,0,2024,"The figures included here concern only verified cases of killing of human rights defenders, journalists and trade unionists between 1 Jan and 31 Dec 2024 (as of 31 March 2025). OHCHR does not yet collect data on the number of cases of kidnapping of human rights defenders, journalists and trade unionists.","OHCHR in collaboration with UNESCO, ILO, and accredited National Human Rights Institution",1.0
2024,VC_VAW_MTUHRAN,231,NUMBER,2025-05-28T00:00:00,A,0,2024,"The figures included here concern only verified cases of killing of human rights defenders, journalists and trade unionists between 1 Jan and 31 Dec 2024 (as of 31 March 2025). OHCHR does not yet collect data on the number of cases of kidnapping of human rights defenders, journalists and trade unionists.","OHCHR in collaboration with UNESCO, ILO, and accredited National Human Rights Institution",1.0
2024,VC_VOC_ENFDISN,231,NUMBER,2025-05-28T00:00:00,A,0,2024,"The figures included here concern only verified cases of enforced disappearance of human rights defenders, journalists and trade unionists between 1 Jan and 31 Dec 2024 (as of 31 March 2025). OHCHR does not yet collect data on the number of cases of kidnapping of human rights defenders, journalists and trade unionists.","OHCHR in collaboration with UNESCO, ILO, and accredited National Human Rights Institution",1.0
