Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2000,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.007529
2001,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.007347
2002,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.007391
2003,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.006543
2004,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.007358
2005,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.00859
2006,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.008594
2007,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.009102
2008,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.009906
2009,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.012866
2010,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.015231
2011,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.015685
2012,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.015625
2013,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.016426
2014,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.017223
2015,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.017588
2016,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.017374
2017,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.017035
2018,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.013833
2019,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.014422
2020,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.018456
2021,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.017708
2022,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.015948
2023,TX_EXP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.015186
2000,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.033259
2001,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.034298
2002,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.035824
