Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2004,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",143395.0
2005,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",143040.0
2006,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",141019.0
2007,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",138700.0
2008,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",135523.0
2009,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",131186.0
2010,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",127918.0
2011,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",124880.0
2012,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",120966.0
2013,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",117748.0
2014,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",117042.0
2015,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",117074.0
2016,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",117259.0
2017,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",117091.0
2018,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",117599.0
2019,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",118076.0
2020,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",117438.0
2021,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",115817.0
2022,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",114175.0
2023,SH_DYN_NMRTN,231,M0,NUMBER,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",112319.0
